,word,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74
0,abil,0.14470030609920065,0.08245030422166894,0.03294909833176788,0.008635428072968961,0.0,0.0,0.02266965684112304,0.040251878553697766,0.0338161496512246,0.02816569654288343,0.0,0.06305995765118647,0.03821657572172538,0.0,0.0,0.06535544616596385,0.0,0.0,0.0,0.0,0.05490623373348909,0.0,0.04823891048241137,0.0,0.0,0.0,0.012655266137880719,0.0,0.011999737191230405,0.0,0.05448504610120552,0.0077746041135769535,0.0011572392683388906,0.03125696624852972,0.019113014407223648,0.015548545162731698,0.0,0.0,0.0,0.0,0.0,0.0349159848199557,0.0,0.0,0.029680917792331153,0.03168938033754726,0.0,0.0,0.007932536693835687,0.0,0.0,0.018052469175428947,0.1753043587032636,0.0,0.0,0.1248952137803216,0.0,0.0,0.0,0.0,0.019120797485875616,0.0,0.0,0.0,0.0,0.0,0.0,0.048727357789849955,0.0620461343541161,0.007891084578422485,0.0,0.0,0.0,0.0,0.028137422690635572
1,abl,0.5356509974287074,0.032094887982069664,0.0,0.08886399105890248,0.0,0.0,0.0,0.0,0.06812858262125908,0.010374389411171223,0.0,0.295835642471734,0.040253140431944674,0.0,0.09769252812826129,0.05670039804021806,0.0,0.025352051593854185,0.0,0.0,0.06613875970130907,0.0,0.008381746755093216,0.0,0.02081642198003657,0.0,0.0,0.0,0.0,0.0,0.0,0.007279653607030604,0.016689815694548776,0.007096637533087301,0.009396490142339113,0.08349296401270684,0.0,0.0,0.0,0.0,0.0,0.02721798144103164,0.0,0.012928843330511138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00824693845840728,0.08374073399165896,0.10464395966102631,0.0,0.0,0.0,0.0,0.0,0.03899122932443414,0.0,0.0,0.0,0.0,0.0,0.014920129125014218,0.0,0.0,0.0,0.0,0.0,0.0,0.007756317900452743,0.0
2,abort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15937613676495763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5609814792585235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,abov,0.013476139700990106,0.0032329441669892035,0.019867149151644867,0.06667218566090505,0.0,0.001122861644894087,0.0,0.0,0.0,0.0,0.013699622728778905,0.02120909987436507,0.012702842131128681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01545159884753502,0.0,0.007750381394366601,0.0,0.0,0.0,0.006024374581641904,0.0038111730904200098,0.0,0.05480582388149736,0.0,0.0,0.0,0.0,0.0,0.0009129328096772144,0.0,0.002775389831714126,0.0,0.0,0.14251138205275898,0.0,0.0,0.0,0.04716022031970732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015657625101181665,0.0,0.0,0.0,0.0,0.0,0.056704944037975276,0.0,0.0,0.0,0.04337609135905669
4,absenc,0.047162936201081015,0.007574401911219392,0.011089233083071933,0.05209728592272795,0.0,0.0,0.00023965213253500443,0.004425000723008133,0.008612712063538646,0.0,0.0,0.0,0.0,0.0,0.0,0.004756539475145993,0.0,0.0037297176316981703,0.0,0.026566455640589102,0.0,0.0,0.0,0.006794497783795961,0.0,0.0,0.0,0.0006133433923128607,0.0,0.0,0.018200650927671362,0.0,0.0003641218607224822,0.0,0.0,0.0,0.0,0.0,0.014681608594559609,0.0,0.0,0.0,0.0,0.0016153540721144091,0.0,0.011732159184494101,0.0,0.0,0.0,0.0,0.0,0.0180260813687029,0.02308920516917952,0.0,0.11262634706495073,0.0,0.0,0.0,0.0,0.011276320468553546,0.0,0.0,0.0,0.0,0.0,0.00037584126862936877,0.0,0.027276627080866003,0.0,0.0,0.0,0.0,0.0,0.008667681215995007,0.0034048497768592364
5,absolut,0.23327634798733196,0.018733501629310347,0.012566916707746565,0.0,0.0,0.0,0.0,0.0,0.004902914890662077,0.002552920087196104,0.0,0.035560489752474486,0.007610815691711239,0.0,0.01959972203983295,0.0,0.0,0.0,0.0020973360031326933,0.015955333183,0.016387968174882764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005283887922515393,0.0,0.0,0.0,0.0,0.0,0.0006478000599345254,0.0,0.0062878393737890855,0.0,0.0,0.0,0.0,0.00871783252181118,0.0,0.0059725471306538306,0.0,0.006251108845924743,0.0035585077201370674,0.0,0.04193909997741587,0.0,0.024033645262047685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034629243409011762,0.0,0.007652032722669693,0.0,0.018626235493313836,0.0,0.003728854343420062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,abus,0.0,0.01074766655315862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8165288329089037,0.09220484874964345,0.0,0.10610597941085602,0.25391023898299725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002277446612725646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0682223950686179,0.0,0.0,0.0,0.0,0.0,0.0,0.07756846066990931,0.0,0.019648643078977228,0.08977166625689315,0.0,0.0,0.299503672166137,0.11362362213826263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06739931459111823,0.0,0.010181706536658343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,accept,0.09981919092916348,0.06275834641516126,0.0,0.05603156912074709,0.028664066551971283,0.0,0.006375671577745222,0.0,0.0029997091941234354,0.0,0.0,0.010191638002815733,0.0,0.0,0.0025804268010862475,0.0,0.0,0.0,0.0,0.021016182572575023,0.06891015429361459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005905810810104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013684224557214854,0.015344339201057678,0.0,0.0,0.056989454945766634,0.0,0.025112122757688017,0.0,0.0,0.0,0.11548558560118652,0.0032614619555294635,0.0,1.9801070818991353e-05,0.0,0.0,0.0,0.0,0.0,0.00856958915318691,0.0,0.0,0.0016914514164907838,0.0,0.010999541806961999,0.0,7.563808771797706e-05
8,access,0.0,0.11122131795219824,0.0004694813642585667,0.0,0.0,0.05609967623789174,0.1140320577591352,0.0,0.6381364247668878,0.0,0.0,0.14586528701528448,0.05473056792920443,0.06044656906004004,0.01802449434727343,0.08374271013668727,0.0,0.08869324668488338,0.0,0.0,0.0,0.0,0.010384488938447237,0.0,0.0,0.0,0.06287493568072147,0.10742083982592901,0.0,0.0,0.0,0.0,0.0,0.08458939530324597,0.13750980751396227,0.1461067193537269,0.0,0.0,0.0,0.0,0.0,0.1396302229345812,0.0,0.0,0.0,0.14693712796876732,0.05397665392056212,0.0,0.0,0.06132420010734085,0.0,0.0,0.19833689205045255,0.10732402191272913,0.0,0.13309043637718085,0.005425866954931799,0.0,0.0,0.0,0.10497475690091163,0.020829757988461872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07205882875234947,0.0,0.0
9,accomplish,0.00588120813024765,0.011234093026422785,0.0,0.06827044959389883,0.0,0.0,0.03831082947384259,0.0,0.0,0.0,0.0,0.11330468020100401,0.02671108540097491,0.0,0.0,0.0,0.0,0.0,0.0,0.05273910414209483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014507028590334595,0.0,0.0,0.004632679777572365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012322962522342003,0.0,0.006022606878182444,0.07741866668717792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769665966650195,0.0,0.0,0.0,0.0,0.0,0.00040732731435208345,0.0,0.0,0.0,0.007495681996658229,0.0,0.2673576097080782
