,word,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
0,abil,0.12649389503536632,0.0829327195024817,0.026119403436744897,0.020271838747156188,0.004651810154566369,0.0,0.03277842279897967,0.03280417994975288,0.02819909311566271,0.06462909398414401,0.0035902000301364276,0.0,0.00848592489744151,0.0,0.0,0.06798939762151066,0.052826253870323595,0.0,0.006783142716740805,0.07788997401446682,0.23650909137187676,0.0,0.07512263864638412,0.0014162349269059489,0.0
1,abl,0.49713143814564825,0.03752792612551707,0.0,0.04379727370046845,0.0,0.01439371796605124,0.05585588977470016,0.0,0.041075571376823224,0.08789721073683551,0.0,0.15006168866594113,0.04092388313014477,0.016066981898870923,0.10229515911254647,0.06618875058749635,0.14086512630683454,0.0040538908383400485,0.0,0.0,0.04375922049298828,0.0,0.06513474497955596,0.0,0.024682960964035106
2,abort,0.0,0.0,0.05304973688323904,0.0,0.0,0.0,0.0,0.0,1.0057699479275615,0.017595831631750793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22438303346470873,0.0,0.0,0.04575557644642683,0.0,0.0,0.0,0.0
3,abov,0.018425434179438833,0.0034064633226809854,0.020657103336755977,0.08195138723639596,0.05746115835964229,0.006353565338110803,0.0,0.00855477190213354,0.0,0.0,0.01416047459107748,0.0,0.05351489437624984,0.0,0.0,0.0,0.08200742906090683,0.0,0.0,0.012316958260083648,0.0,0.008163399773633676,0.0,0.01362962766584221,0.0
4,absenc,0.038926797773186465,0.008886082585618021,0.024865462543727557,0.03664461648757222,0.0,0.0006460041022528509,0.006837177944185698,0.010523720672150242,0.027193271939684783,0.0,0.0,0.09020417070804845,0.0034812358349706964,0.0,0.0,0.011480733458726545,0.014715268656523485,0.00551837500715812,0.0,0.04184689347284123,0.0,0.0013675435641916408,0.0,0.012337762664812681,0.0
5,absolut,0.2207842381009304,0.02085132635418071,0.025545093676813187,0.0,0.016859172412221186,0.0,0.0,0.00224497724271913,0.009183575074725362,0.02711194839700286,0.0,0.00043793911785244756,0.0,0.0,0.02004774568063993,0.0,0.023299233935387242,0.0,0.005043925737477925,0.015600273416816631,0.02207648254399966,0.0,0.0,0.0,0.0
6,abus,0.0,0.022499940341426532,0.02079352008929286,0.0,0.0,0.0,0.014810828973340451,0.0,0.0,0.0033156333933438884,0.0,0.0,0.0,0.832097677369349,0.10061790222030431,0.0,0.024882114065089844,0.1963486398900616,0.0,0.029631804194846487,0.17348292142147273,0.0,0.0,0.0,0.016739505733987203
7,accept,0.10291589998613093,0.05843834839832901,0.007565414413426767,0.03703124392334687,0.0,0.0,0.01009083802784162,0.009595784227201032,0.014739309241243623,0.0706783794721141,0.0,0.03488761678079749,0.0,0.0,0.004059077750085591,0.0,0.0024610426278804105,0.003418387659032782,0.0,0.052222037496201384,0.016817824111420764,0.0015411084657978658,0.0,0.0,0.0
8,access,0.0,0.11179943602675751,0.00830052935173534,0.010792437716202509,0.0,0.10713990218764403,0.2143483806887876,0.0,0.5248593655002372,0.0,0.0,0.0,0.01234746351166909,0.09438114034024078,0.03101293335675848,0.09854601070238812,0.10346306318479616,0.0054042692760566296,0.0,0.0008425795466768703,0.3248363375762545,0.0,0.12730456953819058,0.0,0.0
9,accomplish,0.004778193842561072,0.011844271622203782,0.0,0.20539515580318243,0.008126179620416826,0.0,0.03746156450814716,0.0,0.0,0.0,0.0,0.11960324332935966,0.0,0.0,0.0,0.0070427735078949375,0.0370937750887282,0.0,0.0,0.017538910690914615,0.027327136115525518,0.0,0.0,0.0,0.0015772697678587287
10,accord,0.010964454967092523,0.042115211457730124,0.040879088718591874,0.017800190839344806,0.01007927688985316,0.0011570994015005012,0.033401328965919345,0.0015387961713766623,0.0785964529524807,0.0017354565674719976,0.02106356425973228,0.0,0.018463794488923855,0.05682729031613826,0.023093693405190824,0.02530503096824098,0.05772642522724401,0.04237740744324026,0.0,0.10050761130586061,0.12225346609428762,0.05671274275970233,0.021947492422251975,0.024103557630567363,0.051397994546862814
11,account,0.03445773021539176,0.035305979543349686,0.009552559479996978,0.0,0.16306065658809488,0.1759656708081686,0.1527118900620567,0.0,0.0070458183447549075,0.06063019464660888,0.0,0.0,0.007498071042455685,0.0,0.0019460822771697377,0.0069826686990909085,0.21345735095882346,0.021839857420467425,0.0,0.056459996254725885,0.3775125167030621,0.0,0.06191709971780891,0.0,0.05097914229176354
12,achiev,0.0,0.09204126933763988,0.0,0.15932257608795056,0.0016916734348890723,0.0,0.33989911187363414,0.0,0.0,0.0,0.0,0.12101983347782037,0.0166747522373604,0.0,0.0,0.022043945848870226,0.0542118073966634,0.0,0.0,0.02827756918502434,0.07913330782055343,0.017067206818411,0.0,0.0,0.0004001619678352002
13,acknowledg,0.049962103350651474,0.01293583449065336,0.0,0.07896415236397715,0.0,0.002127742847840705,0.01859152956209899,0.0,0.0,0.0,0.0,0.03350319785045583,0.0,0.0,0.0,0.008784330076827515,0.012345565253664129,0.004359761169561055,0.0,0.03568969183038162,0.04256474147284764,0.034004192869292196,0.0,0.0,0.0
