,word,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
1125,religion,0.040004702781552055,0.040043994758572746,5.696617805536487,0.04001534825866638,0.04025382464501558,0.04006139779694416,0.04000231138974129,304.1854035249479,0.040013917439761855,0.04001430116001202,0.04000628895386158,0.0400027642460684,0.040018271338647195,0.0400073299522615,0.043018999896143335,0.040020801217838,0.040001754533922164,0.040013106870431664,0.040748531003016765,0.04012726930720124,0.04001872529772794,0.04000202495877089,621.7978249994424,4.808152099331462,0.040005810196026344
1126,remain,67.76822317114326,70.04059086340321,43.55165051174442,88.71999326794949,0.08139625148765427,142.8819994789873,25.237278093869485,333.77222853062125,78.43448960524114,31.197618591903748,257.8617717807198,57.11258968774093,552.726674533178,51.1706168468452,68.2119248527723,39.086756180634524,187.55516206334823,56.58321467689444,345.2192098635915,30.802315060629553,50.18876607038184,497.26381426622135,211.44505843963344,1.277207433237412,0.07061754441000392
1127,remark,14.73620491912633,133.2860000308452,0.21941173270654554,19.443817399117314,5.915616911610949,320.8463165448186,0.04001457935654301,51.929287323407216,28.7933704971809,0.04000375585073248,0.2665930735812606,1.865695112789852,488.3093755490901,37.91267249288352,13.097215634936225,9.55703773712306,101.38502025999847,0.04002789403448469,25.60175771078256,0.040131640566033806,0.04035035580692094,0.10554938199521852,60.5751943932873,209.18411305408307,3.2688699410834663
1128,rememb,7.183571028378678,96.47094799248585,38.06827810877045,19.56200107293992,22.730585278443684,102.56217767019538,0.14179072354268282,180.1803017390539,87.54167801878711,0.040149176236468465,2.261156352770123,15.01742329120343,930.9997283951454,3.2237822734271986,0.053471575420411706,22.64648165395075,0.04004247607450158,0.040009910103382736,61.646922503645435,23.640779919802345,4.516455789702631,0.04763003955462499,19.83659826572757,1591.3816238283212,7.55167887183237
1129,remind,9.865669583342205,199.2525627670043,15.05264898795625,12.943542256966156,4.256737735826201,148.16469389515638,0.04031765261398276,213.19926626956703,10.287145952566316,0.040074298731082564,10.636226252433458,2.564164885960897,432.1104108174973,10.749543914562004,0.040453144376214674,15.752141624271054,0.04000898648700704,3.5472313783330494,75.18247783219586,77.52980821155481,5.229017346912794,80.84540945014514,14.391717522076215,350.829522655805,123.40128500872329
1130,remov,22.511243647146348,8.760577441008223,130.24845440574393,31.07483951070741,21.26975295561365,6.480389701235595,0.08228488045342175,61.98591885072141,28.045375293015994,134.8344921009656,472.9155652712237,334.8569582864923,10.657591863766879,8.05857893007223,5.847506217004629,22.950002587244292,0.04112157066644114,84.81607172167351,153.88119782846115,0.36841887667860057,0.0400724102724055,27.617697214972182,143.14532145529535,13.509957025224967,164.26197413901758
1131,renew,68.49180212063705,20.87819671355348,0.04006430421934167,11.730079865028888,0.040765538837259224,107.11861248655617,3.6247796914989716,20.515425792526877,24.513614022177368,37.797990359445016,0.04011004844675628,26.43239747679637,49.33054905082063,16.080401933993706,9.02599848576468,807.6496888753861,0.04001009931344108,0.04012157993542613,6.322984003359471,0.04020895149673103,3.784862695731844,44.04185374525682,0.040578788519553856,0.0417373166985452,0.040774778382862246
1132,repeal,0.07080093081595804,30.71084848772064,0.040015167756515174,141.33540761979842,0.04052858455679662,20.594015522335507,0.044469918752876605,0.04144726652544807,841.8422154816433,0.040004104470484865,246.4208562187584,0.04032783264506123,0.04000958918987964,0.04037065354087473,0.040128181262482444,70.53752197306167,0.04080408605193124,0.05160835507589605,8.155758185669034,0.04003244637201865,0.05764007293551659,0.04001550163582654,7.3689670446864355,0.04001062818882407,34.68449804574908
1133,repeat,32.71517547126501,272.78366019754867,97.42999538328174,64.92986719307535,69.72062084443188,84.37519141424595,51.589556620973944,178.9728097877696,82.94102918444428,6.496521747788574,132.59064510623938,109.7719620046069,0.05313203219752084,41.148316658936515,4.972384414116103,21.032291091333196,21.84855033751671,14.297919379692923,128.5118390459264,53.508136941942745,15.463888452039988,15.631318240735506,110.53115434072456,50.24312924287455,72.0200586544146
1134,replac,11.24693864276622,132.62713330864526,0.04003782584231557,70.14234408996207,0.04002993869201886,48.39923784713185,31.06587186753918,23.830043145258248,201.47080047059904,33.35882716620862,57.06893743269802,12.53395287446458,0.05608585645584553,0.0947039259827018,66.96702144327965,32.306352677729464,59.63176251256501,1.638407714767573,12.074881779670703,63.288211354666046,167.43903741221308,58.92018527733171,29.924256594083115,28.912898249840577,32.72811325312372
1135,report,65.42825930877115,28.110062471123214,665.074412445069,175.4190537179069,45.72958241987003,589.6004523481676,417.02618441138253,418.79374809104,172.8306083886341,7.655528300437389,1395.8786521921807,1122.6560108960123,4.624326206365614,666.7264468354325,162.5581003310434,81.86240061073885,1022.9272172566219,225.11438752473995,321.7535173810791,49.902353045073504,86.4591470833016,424.08430384914567,68.9432498818276,76.67392868199923,67.912142595634
1136,repres,489.1547600673087,705.5430704615329,148.75094351826468,133.73744521663784,46.877076795420805,1069.4397104305892,13.373456076480368,69.394929095518,59.700275356597245,3.310067703480472,752.9288003294964,100.70847121613505,1355.247936113257,77.5343369607045,43.96299998436303,41.34789567900911,12.280271394174969,38.172293970090664,76.5746012046101,261.8931282924786,89.89102105093343,646.5206002361825,297.48766074119237,869.8109360621778,143.87455129506586
1137,republican,8.879047152760458,9593.898663321745,2.05652160389374,1489.148983810032,0.04004777968976284,858.5363855476572,1.0358005076831693,0.10121019285407873,502.2974584240299,0.04257207623802424,4.550597274666985,5.464046823413771,0.062211063143640215,1.13710282716055,1.274262443401083,22.098855545454164,0.051577501310223456,0.05145062994007837,1.371659025980371,2374.9574452382826,20.624025418165985,0.040127666110300955,1.1736872610014348,268.2229417389547,214.84780545605452
1138,request,0.04149392541729917,5.897496174709726,6.3876934892688775,18.19351520753686,56.98712160243527,42.44280005896625,0.04004475333624765,0.05984733226994342,0.040028436412420015,40.24881674432372,296.4938867529965,165.9596594258658,0.19032058513895875,242.15244882176782,0.040129490997720826,1.847014076063229,311.56418895286504,43.225107701223486,20.326289641363537,793.4345847918859,32.64793058927197,332.9086801139828,54.85171604019701,36.613058837704145,178.71199010644924
